Req_ID,Category,Source_Doc,Source_Section,Requirement_Description,User_Journey_Phase,UI_Element_Needed,Data_Required,Backend_Capability,Priority,Status_in_Frontend_Plan,Screen_Location,API_Endpoint,Mock_Server_Status,Data_Mode
REQ-129,Explainer,Doc-10,Step 5,On-demand explanations from LLM,5-Details,Ask why button,Query interface,Explainer LLM,P2,Addressed,Screen 5 Tab 6: Show All Equations,N/A (Frontend only),Addressed,N/A
REQ-130,Performance,Doc-10,Targets,Requirements to Pareto under 60 seconds,4-Optimization,Progress within time,Speed target,System design,P1,Addressed,Screen 3: Remaining Time Estimate,GET /api/optimization/{id}/stream,Addressed,Simulated
REQ-131,Performance,Doc-10,Targets,500K+ designs evaluated,4-Optimization,Count display,Eval target,NSGA-II engine,P1,Addressed,Screen 3: Designs Evaluated Counter,GET /api/optimization/{id}/stream,Addressed,Simulated
REQ-132,Cost,Doc-09,4.1,Cost breakdown display,5-Details,Cost pie chart or table,Cost components,Cost model,P2,Addressed,Screen 5 Tab 6: Cost Breakdown,GET /api/designs/{id}/cost,Addressed,Static
REQ-133,Cost,Doc-09,4.1,Carbon fiber cost dominance highlight,5-Details,Fiber cost emphasis,Fiber cost %,Cost model,P2,Addressed,Screen 5 Tab 6: Pie Chart - 47%,GET /api/designs/{id}/cost,Addressed,Static
REQ-134,Cost,Doc-09,4.2,Weight-cost relationship display,5-Details,Weight vs cost chart,Correlation data,Cost model,P2,Addressed,Screen 5 Tab 6: Weight-Cost Trade-off Chart,GET /api/designs/{id}/cost,Addressed,Static
REQ-135,Cost,Doc-09,4.3,Development cost savings estimate,1-Requirements,ROI display,Savings calc,Business model,P3,Deferred,Future enhancement - P3,N/A,Deferred,N/A
REQ-136,Physics,Doc-09,1.2,Hoop/axial stress ratio display,5-Details,Stress ratio value,σ_hoop/σ_axial,Physics engine,P2,Addressed,Screen 5 Tab 6: Physics - Stress Ratio,GET /api/designs/{id}/stress,Addressed,Static
REQ-137,Physics,Doc-09,1.3,Stored energy calculation display,5-Details,Energy value (MJ),E calculation,Physics engine,P3,Addressed,Screen 5 Tab 6: Physics - Stored Energy,GET /api/designs/{id}/cost,Addressed,Static
REQ-138,Physics,Doc-09,1.4,Permeation rate calculation,5-Details,Permeation value,J calculation,Physics engine,P1,Addressed,Screen 5 Tab 6: Physics - Permeation,GET /api/designs/{id}/cost,Addressed,Static
REQ-139,Physics,Doc-09,Appendix,Key equations display (educational),5-Details,Equation panel,Equations,Static content,P3,Addressed,Screen 5 Tab 6: Show All Equations,N/A (Frontend only),Addressed,N/A
REQ-140,Architecture,Doc-10,Routing,Tank type routing confidence,2-Concept,Confidence indicator,Route confidence,tank_type_router,P2,Deferred,Future enhancement - P2,N/A,Deferred,N/A
REQ-141,Architecture,Doc-10,Surrogates,Surrogate model being used,4-Optimization,Model indicator,Model ID,System info,P3,Deferred,Future enhancement - P3,N/A,Deferred,N/A
REQ-142,Architecture,Doc-10,Workflow,Workflow step indicator,4-Optimization,Current step display,Workflow state,Workflow engine,P2,Addressed,Global: Step Indicator,N/A (Frontend only),Addressed,N/A
REQ-143,API-Contract,Doc-12,Architecture,Standalone mock server separation from frontend,Backend,Separate Next.js project,N/A,Mock server,P1,Addressed,Mock Server: Standalone Project,All endpoints,Addressed,Both
REQ-144,API-Contract,Doc-12,Architecture,OpenAPI 3.0 specification as source of truth,Backend,OpenAPI YAML file,API schema definitions,Mock server,P1,Addressed,openapi-h2-tank-api.yaml,All endpoints,Addressed,N/A
REQ-145,API-Contract,Doc-12,Architecture,Environment-based backend switching,Backend,NEXT_PUBLIC_API_URL,Environment config,Frontend config,P1,Addressed,Frontend .env configuration,All endpoints,Addressed,N/A
REQ-146,API-Contract,Doc-12,Architecture,Zero code change backend swap,Backend,Env var only,URL configuration,System design,P1,Addressed,Environment variable switch,All endpoints,Addressed,N/A
REQ-147,API-Contract,Doc-12,Data Modes,Static data mode for demos,Backend,DATA_MODE=static,Static JSON files,Mock server,P1,Addressed,Mock Server: /data/static/*,All endpoints,Addressed,Static
REQ-148,API-Contract,Doc-12,Data Modes,Simulated data mode for testing,Backend,DATA_MODE=simulated,Simulation engines,Mock server,P1,Addressed,Mock Server: /lib/simulators/*,Dynamic endpoints,Addressed,Simulated
REQ-149,API-Contract,Doc-12,Data Modes,Hybrid data mode for development,Backend,DATA_MODE=hybrid,Mixed static/simulated,Mock server,P1,Addressed,Mock Server: Mode selection,All endpoints,Addressed,Both
REQ-150,API-Contract,Doc-12,Streaming,Server-Sent Events for optimization progress,Backend,SSE endpoint,Event stream,Mock server,P1,Addressed,GET /api/optimization/{id}/stream,Stream endpoint,Addressed,Simulated
REQ-151,API-Contract,Doc-12,Streaming,Real-time progress events,Backend,Progress event type,Generation + designs + pareto,Mock server,P1,Addressed,SSE event: progress,Stream endpoint,Addressed,Simulated
REQ-152,API-Contract,Doc-12,Streaming,Best design update events,Backend,best_update event type,Current best designs,Mock server,P1,Addressed,SSE event: best_update,Stream endpoint,Addressed,Simulated
REQ-153,API-Contract,Doc-12,Streaming,Completion event,Backend,complete event type,Final status,Mock server,P1,Addressed,SSE event: complete,Stream endpoint,Addressed,Simulated
REQ-154,Simulator,Doc-12,OptimizationSimulator,NSGA-II progress simulation,Backend,Progress generator,Realistic progress curve,Mock server,P1,Addressed,OptimizationSimulator class,Stream endpoint,Addressed,Simulated
REQ-155,Simulator,Doc-12,OptimizationSimulator,Pareto front evolution simulation,Backend,Pareto growth,Logarithmic growth model,Mock server,P1,Addressed,updateParetoFront method,Stream endpoint,Addressed,Simulated
REQ-156,Simulator,Doc-12,OptimizationSimulator,Design generation with realistic distributions,Backend,Design generator,Weight/cost/burst ranges,Mock server,P1,Addressed,generateDesigns method,Stream endpoint,Addressed,Simulated
REQ-157,Simulator,Doc-12,StressSimulator,Von Mises stress field generation,Backend,Stress field,Nodal stress values,Mock server,P1,Addressed,StressSimulator class,GET /api/designs/{id}/stress,Addressed,Simulated
REQ-158,Simulator,Doc-12,StressSimulator,Dome stress concentration modeling,Backend,SCF calculation,Transition zone stress,Mock server,P1,Addressed,domeStressMultiplier method,GET /api/designs/{id}/stress,Addressed,Simulated
REQ-159,Simulator,Doc-12,StressSimulator,Physics-based noise injection,Backend,Noise generator,Realistic variation,Mock server,P2,Addressed,noise method with noiseLevel,GET /api/designs/{id}/stress,Addressed,Simulated
REQ-160,Simulator,Doc-12,ReliabilitySimulator,Monte Carlo sampling simulation,Backend,MC sampler,Burst distribution,Mock server,P1,Addressed,simulateMonteCarloResults,GET /api/designs/{id}/reliability,Addressed,Simulated
REQ-161,Simulator,Doc-12,ReliabilitySimulator,Configurable random seed,Backend,Seed parameter,Reproducible results,Mock server,P2,Addressed,seed parameter in simulator,GET /api/designs/{id}/reliability,Addressed,Simulated
REQ-162,Simulator,Doc-12,ThermalSimulator,Fast-fill temperature simulation,Backend,Temp profile,Time-series temp data,Mock server,P1,Addressed,ThermalSimulator class,GET /api/designs/{id}/thermal,Addressed,Simulated
REQ-163,Integration,Doc-12,Frontend,API client with base URL configuration,Frontend,apiClient function,Fetch wrapper,Frontend code,P1,Addressed,lib/api-client.ts,All endpoints,Addressed,N/A
REQ-164,Integration,Doc-12,Frontend,React Query integration hooks,Frontend,useQuery hooks,Data fetching,Frontend code,P2,Addressed,hooks/useDesign*.ts,All GET endpoints,Addressed,N/A
REQ-165,Integration,Doc-12,Frontend,SSE hook for optimization streaming,Frontend,useOptimizationStream,EventSource wrapper,Frontend code,P1,Addressed,hooks/useOptimizationStream.ts,Stream endpoint,Addressed,N/A
REQ-166,Integration,Doc-12,Frontend,Error handling with ApiError class,Frontend,Error handler,Error responses,Frontend code,P1,Addressed,lib/api-client.ts,All endpoints,Addressed,N/A
REQ-167,Data-Schema,Doc-12,Requirements,ParsedRequirementsResponse schema,Backend,JSON schema,Parsed requirements,Mock server,P1,Addressed,Schema in OpenAPI,POST /api/requirements/parse,Addressed,Both
REQ-168,Data-Schema,Doc-12,Configuration,TankTypeResponse schema,Backend,JSON schema,Type recommendation,Mock server,P1,Addressed,Schema in OpenAPI,POST /api/tank-type/recommend,Addressed,Both
REQ-169,Data-Schema,Doc-12,Configuration,MaterialsResponse schema,Backend,JSON schema,Material database,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/materials,Addressed,Static
REQ-170,Data-Schema,Doc-12,Optimization,OptimizationResults schema,Backend,JSON schema,Pareto designs,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/optimization/{id}/results,Addressed,Static
REQ-171,Data-Schema,Doc-12,Analysis,GeometryData schema,Backend,JSON schema,3D geometry + layup,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/designs/{id}/geometry,Addressed,Static
REQ-172,Data-Schema,Doc-12,Analysis,StressData schema,Backend,JSON schema,Stress field + layers,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/designs/{id}/stress,Addressed,Simulated
REQ-173,Data-Schema,Doc-12,Analysis,FailureData schema,Backend,JSON schema,Failure analysis,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/designs/{id}/failure,Addressed,Static
REQ-174,Data-Schema,Doc-12,Analysis,ThermalData schema,Backend,JSON schema,Thermal analysis,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/designs/{id}/thermal,Addressed,Simulated
REQ-175,Data-Schema,Doc-12,Analysis,ReliabilityData schema,Backend,JSON schema,Monte Carlo results,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/designs/{id}/reliability,Addressed,Simulated
REQ-176,Data-Schema,Doc-12,Validation,SurrogateConfidence schema,Backend,JSON schema,Model accuracy,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/designs/{id}/surrogate-confidence,Addressed,Static
REQ-177,Data-Schema,Doc-12,Validation,TestPlan schema,Backend,JSON schema,Test specifications,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/designs/{id}/test-plan,Addressed,Static
REQ-178,Data-Schema,Doc-12,Validation,SentrySpec schema,Backend,JSON schema,Monitoring spec,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/designs/{id}/sentry,Addressed,Static
REQ-179,Data-Schema,Doc-12,Export,ExportRequest schema,Backend,JSON schema,Export configuration,Mock server,P1,Addressed,Schema in OpenAPI,POST /api/export,Addressed,Static
REQ-180,Data-Schema,Doc-12,Export,ExportStatus schema,Backend,JSON schema,Export job status,Mock server,P1,Addressed,Schema in OpenAPI,GET /api/export/{id},Addressed,Static
REQ-181,Static-Data,Doc-12,Designs,Pre-defined Pareto designs (A-E),Backend,Static JSON,5 reference designs,Mock server,P1,Addressed,/data/static/designs/*.json,Design endpoints,Addressed,Static
REQ-182,Static-Data,Doc-12,Materials,Material database JSON,Backend,Static JSON,Fibers matrices liners bosses,Mock server,P1,Addressed,/data/static/materials/material-database.json,GET /api/materials,Addressed,Static
REQ-183,Static-Data,Doc-12,Standards,Standards database JSON,Backend,Static JSON,ISO UN EC SAE standards,Mock server,P1,Addressed,/data/static/standards/h2-standards.json,GET /api/standards,Addressed,Static
REQ-184,Static-Data,Doc-12,Pareto,Full Pareto set (50 designs),Backend,Static JSON,Complete Pareto frontier,Mock server,P1,Addressed,/data/static/pareto/pareto-50.json,Results endpoint,Addressed,Static
REQ-185,Backend-Contract,Doc-12,Contract,Real backend must match endpoint paths,Backend,Path matching,Identical routes,Real backend,P1,Addressed,OpenAPI paths section,All endpoints,Pending,N/A
REQ-186,Backend-Contract,Doc-12,Contract,Real backend must match request schemas,Backend,Schema compliance,Request validation,Real backend,P1,Addressed,OpenAPI requestBody,All POST endpoints,Pending,N/A
REQ-187,Backend-Contract,Doc-12,Contract,Real backend must match response schemas,Backend,Schema compliance,Response format,Real backend,P1,Addressed,OpenAPI responses,All endpoints,Pending,N/A
REQ-188,Backend-Contract,Doc-12,Contract,Real backend must support SSE streaming,Backend,SSE support,Event stream,Real backend,P1,Addressed,text/event-stream,Stream endpoint,Pending,N/A
REQ-189,Backend-Contract,Doc-12,Contract,Real backend must match error formats,Backend,Error schema,Error responses,Real backend,P1,Addressed,Error schema in OpenAPI,All endpoints,Pending,N/A
